molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL3360720,CC(C)(C)C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,CC(C)(C)C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,5.85,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4062505,CC(C)(C)C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])s3)cc2)CC1,CC(C)(C)C1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])s3)cc2)CC1,7.0,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1cccs1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360729,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(C(F)(F)F)o3)cc2)CC1,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(C(F)(F)F)o3)cc2)CC1,4.97,Inactive,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360719,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])o3)cc2)CC1,6.55,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4084209,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])s3)cc2)CC1,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc([N+](=O)[O-])s3)cc2)CC1,7.0,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1cccs1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL3360726,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3cccc([N+](=O)[O-])c3)cc2)CC1,CC1(C)CCN(S(=O)(=O)c2ccc(NC(=O)c3cccc([N+](=O)[O-])c3)cc2)CC1,4.88,Inactive,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccccc1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4099712,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccc([N+](=O)[O-])o3)c2)CC1,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccc([N+](=O)[O-])o3)c2)CC1,7.0,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4071148,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccc([N+](=O)[O-])s3)c2)CC1,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccc([N+](=O)[O-])s3)c2)CC1,5.89,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1cccs1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4061428,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3cccc([N+](=O)[O-])c3)c2)CC1,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3cccc([N+](=O)[O-])c3)c2)CC1,5.52,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccccc1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
CHEMBL4081696,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccco3)c2)CC1,CC1(C)CCN(S(=O)(=O)c2cccc(NC(=O)c3ccco3)c2)CC1,5.92,Active,EC50,Leishmania amazonensis,L_amazonensis,O=C(Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccco1,CHEMBL3996935,Anti-parasitic activity against Leishmania amazonensis promastigotes after 44 hrs by CellTiter-Blue assay
