molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL589837,CC(=O)Nc1ccc(S(=O)(=O)N2c3ccccc3CCC2C)cc1,CC(=O)Nc1ccc(S(=O)(=O)N2c3ccccc3CCC2C)cc1,4.29,Inactive,IC50,Leishmania donovani,L_donovani,O=S(=O)(c1ccccc1)N1CCCc2ccccc21,CHEMBL1073485,Antileishmanial activity against Leishmania donovani infected in rat L6 cells
CHEMBL116,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,3.948731681129615,Inactive,IC50,Leishmania donovani,L_donovani,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CCOC1,CHEMBL3392942,"DNDI: Leish (axenic) in Vitro, 72 hour"
CHEMBL1323,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,3.902187592634711,Inactive,IC50,Leishmania donovani,L_donovani,O=C(N[C@H](CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)O[C@H]1CO[C@H]2OCC[C@H]21,CHEMBL3392942,"DNDI: Leish (axenic) in Vitro, 72 hour"
CHEMBL3431092,CC(C)COC(=O)Nc1ccc(N2CCC(CNS(=O)(=O)c3ccccc3)CC2)c(F)c1,CC(C)COC(=O)Nc1ccc(N2CCC(CNS(=O)(=O)c3ccccc3)CC2)c(F)c1,5.7,Active,IC50,Leishmania donovani,L_donovani,O=S(=O)(NCC1CCN(c2ccccc2)CC1)c1ccccc1,CHEMBL3431451,"GSK_TCAKS: pIC50 Leishmania donovani Imaging: Infected Macrophages. Assay plates (384-well) were prepared by adding 250nL of compound to each well. For single shot assay, the final compound concentration was 5 uM. For potency determinations, eleven-point one in three dilution curves were generated with a top concentration of 50 uM. Two exposure images were taken for each well using 405 nm and 488 nm laser excitation. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: Percent of infected macrophage cells were reported for each well."
CHEMBL4529700,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(-c4ccccn4)[nH]nc3n2)CC1,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(-c4ccccn4)n[nH]c3n2)CC1,7.1,Active,EC50,Leishmania donovani,L_donovani,c1ccc(-c2[nH]nc3nc(NC4CCCCC4)ncc23)nc1,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4440539,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(N4CCOCC4)[nH]nc3n2)CC1,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(N4CCOCC4)n[nH]c3n2)CC1,6.3,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2n[nH]c(N3CCOCC3)c12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4476391,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(Oc4ccccc4)[nH]nc3n2)CC1,CC(C)CS(=O)(=O)N[C@H]1CC[C@H](Nc2ncc3c(Oc4ccccc4)n[nH]c3n2)CC1,7.7,Active,EC50,Leishmania donovani,L_donovani,c1ccc(Oc2[nH]nc3nc(NC4CCCCC4)ncc23)cc1,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4795691,CC(C)Cc1[nH]nc2nc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)ncc12,CC(C)Cc1n[nH]c2nc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)ncc12,4.9,Inactive,EC50,Leishmania donovani,L_donovani,O=S(=O)(Cc1ccccc1)N1CCC(Nc2ncc3c[nH]nc3n2)CC1,CHEMBL4673626,Antileishmanial activity against promastigote stage of Leishmania donovani infected in human THP-1 cells incubated for 72 hrs by resazurin dye based assay
CHEMBL4587581,CC(C)Cc1[nH]nc2nc(N[C@H]3CC[C@@H](NS(=O)(=O)CC(C)C)CC3)ncc12,CC(C)Cc1n[nH]c2nc(N[C@H]3CC[C@@H](NS(=O)(=O)CC(C)C)CC3)ncc12,6.2,Active,EC50,Leishmania donovani,L_donovani,c1nc(NC2CCCCC2)nc2n[nH]cc12,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
CHEMBL4533328,CC(C)Cc1[nH]nc2nc(N[C@H]3CC[C@@H](NS(=O)(=O)Cc4ccccc4)CC3)ncc12,CC(C)Cc1n[nH]c2nc(N[C@H]3CC[C@@H](NS(=O)(=O)Cc4ccccc4)CC3)ncc12,4.7,Inactive,EC50,Leishmania donovani,L_donovani,O=S(=O)(Cc1ccccc1)N[C@H]1CC[C@@H](Nc2ncc3c[nH]nc3n2)CC1,CHEMBL4369850,Antileishmanial activity against Leishmania donovani axenic amastigote infected in human THP1 cells by intramacrophage assay
