molecule_chembl_id,std_smiles,canonical_smiles,pIC50,activity_class,standard_type,target_organism,organism_key,scaffold,assay_chembl_id,assay_description
CHEMBL2377069,CC(O)c1cc(F)ccc1Oc1nc2ccc(NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc2cc1Cc1ccccc1,CC(O)c1cc(F)ccc1Oc1nc2ccc(NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc2cc1Cc1ccccc1,5.09,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(Nc1ccc2nc(Oc3ccccc3)c(Cc3ccccc3)cc2c1)c1ccccc1,CHEMBL2379737,Antiprotozoal activity against amastigote form of Leishmania infantum MHOM/MA(BE)/67 infected in mouse peritoneal macrophages assessed as reduction of intracellular parasite burden after 5 days by Giemsa staining method
CHEMBL4739995,CC1(CNS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,CC1(CNS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CCn2cc([N+](=O)[O-])nc2O1,5.66,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(NCC1CCn2ccnc2O1)c1ccccc1,CHEMBL4679936,Antileishmanial activity against Leishmania infantum MHOM/MA(BE)/67 amastigotes infected in mouse peritoneal macrophages incubated for 5 days by Giemsa staining based assay
CHEMBL4761393,CC1(CNS(=O)(=O)c2cccc(OC(F)(F)F)c2)CCn2cc([N+](=O)[O-])nc2O1,CC1(CNS(=O)(=O)c2cccc(OC(F)(F)F)c2)CCn2cc([N+](=O)[O-])nc2O1,5.7,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(NCC1CCn2ccnc2O1)c1ccccc1,CHEMBL4679936,Antileishmanial activity against Leishmania infantum MHOM/MA(BE)/67 amastigotes infected in mouse peritoneal macrophages incubated for 5 days by Giemsa staining based assay
CHEMBL3085903,CC1CCCN(S(=O)(=O)c2cccc3ccccc23)C1,CC1CCCN(S(=O)(=O)c2cccc3ccccc23)C1,5.16,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(c1cccc2ccccc12)N1CCCCC1,CHEMBL3090717,Leishmanicidal activity against intracellular amastigote stage of Leishmania infantum MCAN/ES/96/BCN150 infected in mouse J774 cells assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL3085902,CC1CCCN(S(=O)(=O)c2ccccc2)C1,CC1CCCN(S(=O)(=O)c2ccccc2)C1,3.9492336887669577,Inactive,IC50,Leishmania infantum,L_infantum,O=S(=O)(c1ccccc1)N1CCCCC1,CHEMBL3090729,Leishmanicidal activity against extracellular promastigote stage of Leishmania infantum MCAN/ES/96/BCN150 assessed as reduction of parasite load after 48 hrs by resazurin dye-based fluorometric analysis
CHEMBL4751773,CCCCCOc1cc(C)c(C)cc1S(=O)(=O)NC1CCCC1,CCCCCOc1cc(C)c(C)cc1S(=O)(=O)NC1CCCC1,6.23,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(NC1CCCC1)c1ccccc1,CHEMBL4673565,Antileishmanial activity against amastigote stage of Leishmania infantum MHOM/MA(BE)/67/ITMAP263 infected in mouse peritoneal macrophage assessed as parasite growth inhibition incubated for 5 days by Giemsa staining based microscopic analysis
CHEMBL4790550,CCCCCOc1cc(C)c(Cl)cc1S(=O)(=O)NCc1cccs1,CCCCCOc1cc(C)c(Cl)cc1S(=O)(=O)NCc1cccs1,6.35,Active,IC50,Leishmania infantum,L_infantum,O=S(=O)(NCc1cccs1)c1ccccc1,CHEMBL4673565,Antileishmanial activity against amastigote stage of Leishmania infantum MHOM/MA(BE)/67/ITMAP263 infected in mouse peritoneal macrophage assessed as parasite growth inhibition incubated for 5 days by Giemsa staining based microscopic analysis
CHEMBL393580,CCCCN(CCCC)c1c(C#N)cc(S(=O)(=O)Nc2ccccc2)cc1C#N,CCCCN(CCCC)c1c(C#N)cc(S(=O)(=O)Nc2ccccc2)cc1C#N,4.87,Inactive,IC50,Leishmania infantum,L_infantum,O=S(=O)(Nc1ccccc1)c1ccccc1,CHEMBL3832789,AntiLeishmania activity L. infantum (macrophages) IC50 (uM)
CHEMBL591890,CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,4.72,Inactive,IC50,Leishmania infantum,L_infantum,O=C1CCc2cc(S(=O)(=O)Nc3ccccc3)cc3c2N1CC3,CHEMBL2028076,MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.
CHEMBL604389,CCN(CC)S(=O)(=O)c1ccc(-c2csc(Nc3ccc(C)c(C)c3)n2)cc1,Br.CCN(CC)S(=O)(=O)c1ccc(-c2csc(Nc3ccc(C)c(C)c3)n2)cc1,4.79,Inactive,IC50,Leishmania infantum,L_infantum,c1ccc(Nc2nc(-c3ccccc3)cs2)cc1,CHEMBL2028076,MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.
CHEMBL3431105,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2cc(C)nn2-c2nc(=O)c(C)c(C)[nH]2)cc1,CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2cc(C)nn2-c2nc(C)c(C)c(=O)[nH]2)cc1,5.16,Active,IC50,Leishmania infantum,L_infantum,O=C(Nc1ccnn1-c1nc(=O)cc[nH]1)c1ccccc1,CHEMBL3832789,AntiLeishmania activity L. infantum (macrophages) IC50 (uM)
