assay_chembl_id,assay_description,assay_type,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism,data_source,std_smiles,pIC50,activity_class,scaffold
CHEMBL3789227,Antileishmanial activity against amastigote stage of Leishmania infantum infected in mouse primary peritoneal macrophages assessed as parasite growth inhibition incubated for 5 days by Giemsa staining-based microscopic analysis,F,CC1(COc2ccc(-c3ccc(C(F)(F)F)cc3)cn2)Cn2cc([N+](=O)[O-])nc2O1,CHEMBL3784956,CHEMBL3786175,5.44,=,=,IC50,nM,3600.0,CHEMBL612848,IC50,uM,3.6,L_infantum,Leishmania infantum,ChEMBL,CC1(COc2ccc(-c3ccc(C(F)(F)F)cc3)cn2)Cn2cc([N+](=O)[O-])nc2O1,5.443697499232712,Active,c1ccc(-c2ccc(OCC3Cn4ccnc4O3)nc2)cc1
CHEMBL3431448,"GSK_TCAKS: pIC50 Trypanosoma cruzi Imaging: Amastigotes/Cell. H9c2 cells were seeded in T-225 flasks (225cm^2 culture surface; Corning Inc., NY, USA) in DMEM-10% FBS for 4h to allow attachment. Cells were then washed once with PBS before infection. T. cruzi trypomastigotes, collected at days 5 to 8 after infection from LLC-MK2 parasite infected cultures, were allowed to swim out for 4h at 37C from a centrifuged pellet (2,500 rpm/10 min/room temperature). Trypomastigotes were then collected and counted in a CASY Cell Counter. Trypomastigotes, in supplemented DMEM, were added to H9c2 cultures in a multiplicity of infection of 1 and incubated for 18 h. Cells were washed once with PBS before incubation of the infected H9c2 monolayer with trypsin (Life-Technologies) to detach cells from the flask. Cells were counted in a CASY Cell Counter using a 150 um capillary and their density set at 5 * 10^4 cells per mL in supplemented assay DMEM. Infected H9c2 were dispensed into 384-well poly-lysine coated assay plates at 50uL per well using a Multidrop Combi dispenser. After seeding them, the plates were incubated at 37C, 5% CO2 for 72h. Cultures were then fixed and stained by addition of 50 uL of a solution containing 8% formaldehyde and 4 uM DRAQ5 DNA dye (BioStatus, UK) per well. Plates were kept light-protected and imaged one hour later in a Perkin-Elmer Opera microscope using a 20x air objective (NA 0.4) and the following acquisition set: a 635 nm laser excitation line and a 690/50 emission detection filter for DRAQ5 detection. Five images were collected per well for reliable statistical analysis. Automated image analysis was performed with a script developed on Acapella High Content Imaging and Analysis Software (PerkinElmer). Output: number of amastigotes per cell as infection level measurement.",F,CN(Cc1nnnn1C1CCN(Cc2ccc(-n3ccnc3)cc2)CC1)c1ccc(F)cc1F,CHEMBL3430912,CHEMBL3431152,6.5,=,=,IC50,nM,316.23,CHEMBL368,pIC50,,6.5,T_cruzi,Trypanosoma cruzi,ChEMBL,CN(Cc1nnnn1C1CCN(Cc2ccc(-n3ccnc3)cc2)CC1)c1ccc(F)cc1F,6.499996931948306,Active,c1ccc(NCc2nnnn2C2CCN(Cc3ccc(-n4ccnc4)cc3)CC2)cc1
CHEMBL1930708,Antitrypanosomal activity against Trypanosoma cruzi Tulaheun infected in monkey LLC-MK2 cells after 4 days by beta-galactosidase reporter gene assay,F,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](OCc2cn(C(C(=O)O)C(C)O)nn2)[C@H]1O,CHEMBL1926571,CHEMBL1928156,,=,=,IC50,nM,369000.0,CHEMBL368,IC50,mM,0.369,T_cruzi,Trypanosoma cruzi,ChEMBL,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](OCc2cn(C(C(=O)O)C(C)O)nn2)[C@H]1O,3.43297363384094,Inactive,c1[nH]nnc1COC1CCOCC1
CHEMBL4347990,Antileishmanial activity against Leishmania donovani MHOM/SD/00/1S-2D promastigotes incubated for 72 hrs by MTT assay,F,O=C(CN1CCN(c2ccccc2)CC1)NCCNc1cc(/C=C/c2ccccc2)nc2ccccc12,CHEMBL4346674,CHEMBL4449677,5.68,=,=,IC50,nM,2100.0,CHEMBL367,IC50,uM,2.1,L_donovani,Leishmania donovani,ChEMBL,O=C(CN1CCN(c2ccccc2)CC1)NCCNc1cc(/C=C/c2ccccc2)nc2ccccc12,5.6777807052660805,Active,O=C(CN1CCN(c2ccccc2)CC1)NCCNc1cc(/C=C/c2ccccc2)nc2ccccc12
CHEMBL5333238,Antileishmanial activity against Leishmania donovani amastigotes infected in J774.A1 macrophage assessed as inhibition of parasite growth by luciferase assay,F,O=C(Nc1cccc(Cl)c1)c1cc(Cl)ccc1O,CHEMBL5331088,CHEMBL2088011,5.33,=,=,IC50,nM,4620.0,CHEMBL367,IC50,uM,4.62,L_donovani,Leishmania donovani,ChEMBL,O=C(Nc1cccc(Cl)c1)c1cc(Cl)ccc1O,5.335358024443875,Active,O=C(Nc1ccccc1)c1ccccc1
CHEMBL5330077,Antitrypanosomal activity against Trypanosoma cruzi epimastigotes assessed as parasite growth inhibition incubated for 48 hrs by resazurin staining based analysis,F,O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(Br)cc2)o1,CHEMBL5329184,CHEMBL5430637,4.34,=,=,IC50,nM,46150.0,CHEMBL368,IC50,uM,46.15,T_cruzi,Trypanosoma cruzi,ChEMBL,O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(Br)cc2)o1,4.335828294638069,Inactive,C(=N\N=C\c1ccco1)/c1ccccc1
CHEMBL4036945,Antitrypanosomal activity against Trypanosoma cruzi Tulahuen amastigotes infected in mouse 3T3 cells after 6 days by beta galactosidase reporter asay,F,O=C(Nc1ccn2cc(-c3ccccc3)nc2c1)N1CCCCC1,CHEMBL4033772,CHEMBL4066533,5.56,=,=,EC50,nM,2750.0,CHEMBL368,EC50,uM,2.75,T_cruzi,Trypanosoma cruzi,ChEMBL,O=C(Nc1ccn2cc(-c3ccccc3)nc2c1)N1CCCCC1,5.560667306169737,Active,O=C(Nc1ccn2cc(-c3ccccc3)nc2c1)N1CCCCC1
CHEMBL2343824,Antitrypanosomal activity against Trypanosoma cruzi Tulahuen TcVI extracellular trypomastigotes forms transfected with beta-galactosidase gene infected in rat L6 cells assessed as inhibition of parasite growth after 4 days,F,Cc1csc(C(=O)N2CCN(C(c3cccnc3)c3ccc(Cl)cc3F)CC2)n1,CHEMBL2331102,CHEMBL2334337,7.44,=,=,IC50,nM,36.0,CHEMBL368,IC50,uM,0.036,T_cruzi,Trypanosoma cruzi,ChEMBL,Cc1csc(C(=O)N2CCN(C(c3cccnc3)c3ccc(Cl)cc3F)CC2)n1,7.443697499232712,Active,O=C(c1nccs1)N1CCN(C(c2ccccc2)c2cccnc2)CC1
CHEMBL815449,Inhibitory concentration against Epimastigotes (Tulahuen strain) of Trypanosoma cruzi,F,COc1ccc(CCc2cc(O)cc(OC)c2C(=O)N2CCCCC2)cc1,CHEMBL1133815,CHEMBL67399,4.09,=,=,IC50,nM,81300.0,CHEMBL368,IC50,uM,81.3,T_cruzi,Trypanosoma cruzi,ChEMBL,COc1ccc(CCc2cc(O)cc(OC)c2C(=O)N2CCCCC2)cc1,4.089909454405932,Inactive,O=C(c1ccccc1CCc1ccccc1)N1CCCCC1
CHEMBL3631891,Antiparasitic activity against bloodstream trypomastigote stage of Trypanosoma cruzi Y assessed as parasite viability after 24 hrs by Neubauer chamber analysis,F,C/C(=N\N=C1\SC(c2ccccc2)C(=O)N1C)c1ccc(Cl)c(Cl)c1,CHEMBL3627689,CHEMBL3629561,4.38,=,=,IC50,nM,41500.0,CHEMBL368,IC50,uM,41.5,T_cruzi,Trypanosoma cruzi,ChEMBL,C/C(=N\N=C1\SC(c2ccccc2)C(=O)N1C)c1ccc(Cl)c(Cl)c1,4.3819519032879075,Inactive,O=C1N/C(=N\N=Cc2ccccc2)SC1c1ccccc1
