std_smiles,pIC50,activity_class
CC1(COc2ccc(-c3ccc(C(F)(F)F)cc3)cn2)Cn2cc([N+](=O)[O-])nc2O1,5.443697499232712,Active
CN(Cc1nnnn1C1CCN(Cc2ccc(-n3ccnc3)cc2)CC1)c1ccc(F)cc1F,6.499996931948306,Active
CO[C@H]1O[C@H](CO)[C@H](O)[C@H](OCc2cn(C(C(=O)O)C(C)O)nn2)[C@H]1O,3.43297363384094,Inactive
O=C(CN1CCN(c2ccccc2)CC1)NCCNc1cc(/C=C/c2ccccc2)nc2ccccc12,5.6777807052660805,Active
O=C(Nc1cccc(Cl)c1)c1cc(Cl)ccc1O,5.335358024443875,Active
O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(Br)cc2)o1,4.335828294638069,Inactive
O=C(Nc1ccn2cc(-c3ccccc3)nc2c1)N1CCCCC1,5.560667306169737,Active
Cc1csc(C(=O)N2CCN(C(c3cccnc3)c3ccc(Cl)cc3F)CC2)n1,7.443697499232712,Active
COc1ccc(CCc2cc(O)cc(OC)c2C(=O)N2CCCCC2)cc1,4.089909454405932,Inactive
C/C(=N\N=C1\SC(c2ccccc2)C(=O)N1C)c1ccc(Cl)c(Cl)c1,4.381951903287908,Inactive
COc1cc2c(cc1C(C)NCC1CCCCC1)C=CC(C)(C)O2,3.856985199745905,Inactive
CCOC(=O)C1CCN(C(=O)CN2C(=O)c3ccccc3C2c2c[nH]c3ccccc23)CC1,4.83171677019201,Inactive
CC(C)CC(=O)N1CCC[C@H]1C(=O)O,4.7594507517174005,Inactive
CC(C)(C)OC(=O)NCCCCCCCCCCCCNC1CCN(CCc2ccccc2)CC1,5.5003129173815966,Active
CC(C)(O)c1cc2c(-c3ccsc3)nccc2[nH]1,3.9746941347352296,Inactive
CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1cc(-c2ccc([N+](=O)[O-])cc2)nn1,5.486116814388907,Active
N=C(N)c1ccc(COc2ccc(C(=N)N)cc2I)cc1,5.7121982700697735,Active
