descriptor,mi_freq,rf_freq,mean_freq
AATSC7c,0.68,1.0,0.8400000000000001
ATSC7c,0.44,1.0,0.72
ATSC4c,0.48,0.88,0.6799999999999999
MATS4c,0.24,1.0,0.62
GATS5Z,0.24,0.8,0.52
GATS7c,0.16,0.88,0.52
Xch-7dv,0.8,0.0,0.4
AATSC4c,0.04,0.72,0.38
GATS6c,0.24,0.52,0.38
ATS6Z,0.32,0.36,0.33999999999999997
ATS1Z,0.0,0.6,0.3
AATSC2s,0.56,0.0,0.28
BCUTZ-1l,0.48,0.0,0.24
GGI8,0.16,0.28,0.22000000000000003
ATSC3c,0.2,0.24,0.22
GATS4Z,0.04,0.4,0.22
ATSC8c,0.0,0.44,0.22
BCUTc-1l,0.4,0.0,0.2
GATS5c,0.0,0.4,0.2
TSRW10,0.4,0.0,0.2
JGI8,0.4,0.0,0.2
GATS5se,0.0,0.4,0.2
MATS5se,0.16,0.24,0.2
AATSC8c,0.0,0.4,0.2
ATSC0p,0.36,0.04,0.19999999999999998
AATSC6i,0.2,0.16,0.18
VR1_A,0.32,0.04,0.18
AATS7dv,0.0,0.36,0.18
C2SP2,0.36,0.0,0.18
SIC4,0.28,0.04,0.16
ETA_beta_ns,0.32,0.0,0.16
IC1,0.08,0.24,0.16
ATS0Z,0.04,0.28,0.16
ATSC0c,0.28,0.0,0.14
ZMIC3,0.16,0.08,0.12
JGI6,0.24,0.0,0.12
EState_VSA8,0.24,0.0,0.12
MATS1Z,0.24,0.0,0.12
MATS3c,0.0,0.24,0.12
BCUTd-1l,0.24,0.0,0.12
Xch-6dv,0.2,0.0,0.1
ATSC5se,0.0,0.2,0.1
BCUTc-1h,0.2,0.0,0.1
BCUTd-1h,0.2,0.0,0.1
GATS5d,0.0,0.2,0.1
AATSC5se,0.0,0.2,0.1
AATSC1Z,0.0,0.2,0.1
PEOE_VSA10,0.2,0.0,0.1
Xc-5d,0.2,0.0,0.1
GATS5s,0.2,0.0,0.1
GATS4d,0.2,0.0,0.1
NaasC,0.12,0.04,0.08
JGI9,0.0,0.16,0.08
SLogP,0.12,0.04,0.08
AATSC6p,0.0,0.12,0.06
GATS6Z,0.12,0.0,0.06
SM1_DzZ,0.04,0.08,0.06
Kier3,0.04,0.08,0.06
GATS5dv,0.0,0.12,0.06
n9FRing,0.12,0.0,0.06
AATSC4dv,0.12,0.0,0.06
MDEC-22,0.12,0.0,0.06
ATSC8v,0.12,0.0,0.06
GATS6se,0.12,0.0,0.06
ATS5s,0.08,0.0,0.04
ATS8dv,0.0,0.08,0.04
MDEO-11,0.04,0.04,0.04
ATS8s,0.08,0.0,0.04
AATS4dv,0.04,0.04,0.04
GATS2v,0.0,0.08,0.04
ATSC1dv,0.0,0.08,0.04
AATSC6v,0.08,0.0,0.04
GATS5p,0.04,0.04,0.04
MATS6c,0.0,0.08,0.04
ATSC0se,0.08,0.0,0.04
nAromAtom,0.08,0.0,0.04
AATS5i,0.04,0.04,0.04
nHBAcc,0.08,0.0,0.04
IC4,0.08,0.0,0.04
AATS2i,0.08,0.0,0.04
SMR_VSA7,0.08,0.0,0.04
SlogP_VSA1,0.04,0.04,0.04
SlogP_VSA2,0.04,0.04,0.04
Xch-5dv,0.08,0.0,0.04
NssO,0.08,0.0,0.04
ATSC5i,0.0,0.08,0.04
ATS3Z,0.0,0.04,0.02
n6aRing,0.04,0.0,0.02
MDEC-33,0.04,0.0,0.02
JGI4,0.04,0.0,0.02
GGI6,0.04,0.0,0.02
JGI7,0.04,0.0,0.02
naHRing,0.04,0.0,0.02
ATSC4dv,0.04,0.0,0.02
NaaNH,0.04,0.0,0.02
NaaaC,0.04,0.0,0.02
Xpc-4d,0.04,0.0,0.02
Xch-7d,0.04,0.0,0.02
Xc-3d,0.04,0.0,0.02
AXp-2d,0.04,0.0,0.02
AATS0d,0.0,0.04,0.02
AATS7Z,0.0,0.04,0.02
AATS7s,0.0,0.04,0.02
SMR_VSA3,0.04,0.0,0.02
SMR_VSA6,0.04,0.0,0.02
PEOE_VSA13,0.04,0.0,0.02
AATS6d,0.0,0.04,0.02
EState_VSA7,0.04,0.0,0.02
VSA_EState3,0.04,0.0,0.02
IC3,0.04,0.0,0.02
IC2,0.04,0.0,0.02
PEOE_VSA2,0.04,0.0,0.02
SIC3,0.0,0.04,0.02
ETA_shape_x,0.0,0.04,0.02
MIC1,0.0,0.04,0.02
ETA_eta_B,0.04,0.0,0.02
ETA_psi_1,0.0,0.04,0.02
EState_VSA3,0.0,0.04,0.02
BertzCT,0.04,0.0,0.02
BCUTp-1l,0.04,0.0,0.02
