descriptor,mi_freq,rf_freq,mean_freq
MATS3s,0.12,1.0,0.56
BCUTZ-1l,1.0,0.0,0.5
BCUTpe-1l,0.92,0.04,0.48000000000000004
BCUTv-1l,0.96,0.0,0.48
AATSC6v,0.08,0.8,0.44
GATS3s,0.0,0.84,0.42
BCUTdv-1h,0.84,0.0,0.42
MDEC-33,0.0,0.84,0.42
ATSC3s,0.0,0.8,0.4
JGI2,0.0,0.8,0.4
piPC9,0.04,0.68,0.36000000000000004
GGI10,0.68,0.0,0.34
ATSC6v,0.0,0.64,0.32
BertzCT,0.04,0.56,0.30000000000000004
AATSC5d,0.24,0.32,0.28
SMR_VSA7,0.56,0.0,0.28
piPC5,0.04,0.44,0.24
Xc-5d,0.48,0.0,0.24
BCUTdv-1l,0.16,0.28,0.22000000000000003
SaasC,0.16,0.28,0.22000000000000003
BCUTd-1h,0.2,0.24,0.22
nAromAtom,0.44,0.0,0.22
TopoPSA,0.44,0.0,0.22
BCUTs-1l,0.44,0.0,0.22
GATS4se,0.0,0.44,0.22
ATSC2c,0.0,0.44,0.22
MATS2c,0.0,0.4,0.2
SlogP_VSA3,0.36,0.04,0.19999999999999998
VSA_EState3,0.36,0.0,0.18
ATSC1c,0.12,0.24,0.18
RotRatio,0.32,0.0,0.16
AATSC2c,0.08,0.24,0.16
GATS5s,0.0,0.32,0.16
BCUTc-1h,0.24,0.08,0.16
BCUTd-1l,0.32,0.0,0.16
MDEC-23,0.2,0.12,0.16
PEOE_VSA8,0.28,0.0,0.14
GATS1pe,0.08,0.2,0.14
VSA_EState4,0.08,0.2,0.14
fragCpx,0.04,0.2,0.12000000000000001
PEOE_VSA12,0.24,0.0,0.12
nC,0.12,0.12,0.12
ETA_epsilon_2,0.24,0.0,0.12
Xc-6d,0.2,0.0,0.1
SM1_Dzv,0.2,0.0,0.1
AATSC1c,0.0,0.2,0.1
Xc-3dv,0.0,0.2,0.1
ATSC1v,0.16,0.0,0.08
GATS6c,0.04,0.12,0.08
NaasC,0.04,0.12,0.08
AATSC2dv,0.16,0.0,0.08
TopoPSA(NO),0.16,0.0,0.08
MATS1c,0.08,0.08,0.08
Xc-5dv,0.0,0.16,0.08
MAXaasC,0.0,0.12,0.06
PEOE_VSA2,0.12,0.0,0.06
VSA_EState9,0.12,0.0,0.06
TSRW10,0.08,0.04,0.06
ATS0dv,0.12,0.0,0.06
EState_VSA8,0.12,0.0,0.06
GATS4d,0.0,0.12,0.06
Xch-6d,0.12,0.0,0.06
BCUTp-1l,0.12,0.0,0.06
SMR_VSA3,0.12,0.0,0.06
MATS3Z,0.04,0.08,0.06
GATS4s,0.0,0.12,0.06
GATS2p,0.0,0.12,0.06
ATSC3c,0.0,0.12,0.06
GATS5d,0.0,0.12,0.06
ATSC1i,0.08,0.0,0.04
GGI8,0.08,0.0,0.04
ATSC0p,0.04,0.04,0.04
MAXaaCH,0.0,0.08,0.04
MAXddssS,0.04,0.04,0.04
MINaaCH,0.0,0.08,0.04
SIC4,0.08,0.0,0.04
EState_VSA1,0.08,0.0,0.04
AATS8d,0.0,0.08,0.04
NssCH2,0.08,0.0,0.04
AATS8Z,0.0,0.08,0.04
AATS3i,0.0,0.08,0.04
GATS3Z,0.0,0.08,0.04
AATSC6s,0.08,0.0,0.04
AATSC4se,0.08,0.0,0.04
ATSC2s,0.08,0.0,0.04
GATS5v,0.0,0.08,0.04
GATS6v,0.0,0.08,0.04
MATS8s,0.08,0.0,0.04
Xc-3d,0.08,0.0,0.04
AATS6se,0.04,0.04,0.04
MATS3se,0.0,0.08,0.04
GGI4,0.04,0.0,0.02
n9FaRing,0.04,0.0,0.02
ATS1dv,0.0,0.04,0.02
SMR_VSA5,0.04,0.0,0.02
SlogP_VSA5,0.04,0.0,0.02
SlogP_VSA8,0.0,0.04,0.02
VSA_EState7,0.04,0.0,0.02
EState_VSA4,0.04,0.0,0.02
EState_VSA2,0.04,0.0,0.02
IC4,0.0,0.04,0.02
ETA_epsilon_3,0.0,0.04,0.02
ETA_dEpsilon_B,0.04,0.0,0.02
ETA_psi_1,0.04,0.0,0.02
IC0,0.04,0.0,0.02
ETA_eta_B,0.04,0.0,0.02
ETA_eta_BR,0.0,0.04,0.02
AATS7d,0.04,0.0,0.02
AETA_eta_F,0.0,0.04,0.02
BCUTc-1l,0.04,0.0,0.02
AATS7v,0.0,0.04,0.02
AATS8p,0.0,0.04,0.02
AATS7p,0.0,0.04,0.02
Xc-6dv,0.04,0.0,0.02
AXp-2d,0.04,0.0,0.02
Xch-5dv,0.04,0.0,0.02
RNCG,0.04,0.0,0.02
NaaN,0.0,0.04,0.02
GATS1se,0.04,0.0,0.02
ATSC6c,0.0,0.04,0.02
GATS2dv,0.04,0.0,0.02
GATS8s,0.04,0.0,0.02
AATS8i,0.0,0.04,0.02
AATS4i,0.04,0.0,0.02
GATS2Z,0.0,0.04,0.02
GATS1dv,0.04,0.0,0.02
MATS1se,0.04,0.0,0.02
ATSC5d,0.0,0.04,0.02
AATSC8s,0.04,0.0,0.02
AATSC5p,0.0,0.04,0.02
AATSC6p,0.0,0.04,0.02
AATSC7i,0.04,0.0,0.02
ATSC6s,0.04,0.0,0.02
AATSC3c,0.0,0.04,0.02
AATSC1dv,0.04,0.0,0.02
AATSC4d,0.04,0.0,0.02
ATSC0i,0.04,0.0,0.02
ATSC3se,0.0,0.04,0.02
ATSC3pe,0.0,0.04,0.02
ATSC5v,0.0,0.04,0.02
GGI9,0.0,0.04,0.02
SpDiam_A,0.0,0.0,0.0
nBr,0.0,0.0,0.0
SpMax_A,0.0,0.0,0.0
VE1_A,0.0,0.0,0.0
VE2_A,0.0,0.0,0.0
VR1_A,0.0,0.0,0.0
VR3_A,0.0,0.0,0.0
ATS4s,0.0,0.0,0.0
ATS2s,0.0,0.0,0.0
ATS0s,0.0,0.0,0.0
ATS8dv,0.0,0.0,0.0
ATS7dv,0.0,0.0,0.0
ATS6dv,0.0,0.0,0.0
ATS5dv,0.0,0.0,0.0
ATS4dv,0.0,0.0,0.0
ATS3dv,0.0,0.0,0.0
nX,0.0,0.0,0.0
mZagreb1,0.0,0.0,0.0
nCl,0.0,0.0,0.0
nF,0.0,0.0,0.0
n10FaRing,0.0,0.0,0.0
nFaRing,0.0,0.0,0.0
nG12FHRing,0.0,0.0,0.0
ATSC5se,0.0,0.0,0.0
ATSC4se,0.0,0.0,0.0
ATSC2se,0.0,0.0,0.0
ATSC1se,0.0,0.0,0.0
ATSC0se,0.0,0.0,0.0
ATSC8v,0.0,0.0,0.0
ATSC7v,0.0,0.0,0.0
ATSC4v,0.0,0.0,0.0
ATSC3v,0.0,0.0,0.0
ATSC2v,0.0,0.0,0.0
ATSC8Z,0.0,0.0,0.0
ATSC7Z,0.0,0.0,0.0
ATSC6Z,0.0,0.0,0.0
TopoShapeIndex,0.0,0.0,0.0
JGT10,0.0,0.0,0.0
JGI10,0.0,0.0,0.0
ATSC7i,0.0,0.0,0.0
ATSC6i,0.0,0.0,0.0
ATSC5i,0.0,0.0,0.0
ATSC4i,0.0,0.0,0.0
ATSC3i,0.0,0.0,0.0
ATSC2i,0.0,0.0,0.0
ATSC8p,0.0,0.0,0.0
ATSC7p,0.0,0.0,0.0
ATSC6p,0.0,0.0,0.0
ATSC5p,0.0,0.0,0.0
ATSC4p,0.0,0.0,0.0
ATSC3p,0.0,0.0,0.0
