descriptor,mi_freq,rf_freq,mean_freq
ATSC0p,0.36,1.0,0.6799999999999999
AATS4Z,0.8,0.36,0.5800000000000001
AETA_eta_L,0.44,0.64,0.54
PEOE_VSA9,1.0,0.0,0.5
BCUTc-1l,0.64,0.36,0.5
ATS4Z,0.08,0.92,0.5
SlogP_VSA1,0.52,0.4,0.46
ATS5Z,0.04,0.88,0.46
BCUTdv-1l,0.84,0.0,0.42
AETA_eta,0.08,0.72,0.39999999999999997
MATS2c,0.4,0.36,0.38
PEOE_VSA2,0.12,0.6,0.36
nRot,0.44,0.28,0.36
BCUTd-1h,0.64,0.04,0.34
BCUTs-1l,0.6,0.0,0.3
ATS0Z,0.0,0.6,0.3
SM1_DzZ,0.44,0.12,0.28
GATS2p,0.48,0.04,0.26
SlogP_VSA2,0.48,0.04,0.26
ATSC0c,0.0,0.52,0.26
RotRatio,0.24,0.28,0.26
ATSC7v,0.0,0.48,0.24
AATS0v,0.4,0.0,0.2
EState_VSA2,0.12,0.28,0.2
ATSC1s,0.36,0.04,0.19999999999999998
VSA_EState1,0.24,0.12,0.18
GATS2i,0.0,0.36,0.18
AATSC2c,0.04,0.32,0.18
BCUTdv-1h,0.32,0.0,0.16
SlogP_VSA3,0.04,0.28,0.16
Xc-6d,0.12,0.2,0.16
Xc-5dv,0.24,0.08,0.16
AATSC0v,0.0,0.28,0.14
ATSC2c,0.0,0.28,0.14
AATS0p,0.28,0.0,0.14
Xc-5d,0.16,0.08,0.12
Xch-6dv,0.24,0.0,0.12
nH,0.24,0.0,0.12
Xpc-4dv,0.0,0.24,0.12
AATS0Z,0.08,0.12,0.1
AATS5Z,0.0,0.2,0.1
AXp-0dv,0.0,0.2,0.1
GGI8,0.0,0.2,0.1
ATSC4Z,0.2,0.0,0.1
MDEC-33,0.2,0.0,0.1
AMID_N,0.04,0.16,0.1
Xc-3dv,0.0,0.16,0.08
GATS8c,0.08,0.08,0.08
GATS7v,0.0,0.16,0.08
GATS3Z,0.08,0.08,0.08
nAromAtom,0.16,0.0,0.08
GGI4,0.0,0.16,0.08
VE2_A,0.04,0.08,0.06
ATSC1p,0.12,0.0,0.06
AXp-1dv,0.0,0.12,0.06
ATSC2p,0.12,0.0,0.06
AATSC3d,0.0,0.12,0.06
AATSC7dv,0.04,0.08,0.06
ATSC0i,0.12,0.0,0.06
RPCG,0.0,0.12,0.06
MAXaasC,0.04,0.08,0.06
AATS6p,0.12,0.0,0.06
AATS5p,0.0,0.12,0.06
AATS2d,0.12,0.0,0.06
PEOE_VSA13,0.0,0.12,0.06
ATS1Z,0.08,0.04,0.06
FilterItLogS,0.0,0.08,0.04
JGI6,0.0,0.08,0.04
GATS2d,0.0,0.08,0.04
ATSC2v,0.08,0.0,0.04
ATSC6Z,0.0,0.08,0.04
GATS7c,0.08,0.0,0.04
AATSC1c,0.0,0.08,0.04
BCUTv-1l,0.08,0.0,0.04
Xc-4dv,0.04,0.04,0.04
Xc-3d,0.0,0.08,0.04
AATS1Z,0.08,0.0,0.04
AETA_eta_R,0.0,0.08,0.04
SMR_VSA5,0.08,0.0,0.04
MATS4Z,0.0,0.08,0.04
AATS8Z,0.08,0.0,0.04
GATS6Z,0.08,0.0,0.04
GGI7,0.08,0.0,0.04
SIC2,0.08,0.0,0.04
AATS7dv,0.08,0.0,0.04
JGI9,0.04,0.0,0.02
n9FaRing,0.04,0.0,0.02
VSA_EState2,0.0,0.04,0.02
MDEC-22,0.04,0.0,0.02
ATS4dv,0.0,0.04,0.02
EState_VSA1,0.04,0.0,0.02
MDEO-11,0.04,0.0,0.02
PEOE_VSA10,0.04,0.0,0.02
PEOE_VSA7,0.0,0.04,0.02
PEOE_VSA3,0.04,0.0,0.02
SIC3,0.0,0.04,0.02
ETA_epsilon_3,0.04,0.0,0.02
AATS2Z,0.04,0.0,0.02
AATS3Z,0.04,0.0,0.02
AATS6v,0.04,0.0,0.02
Xc-4d,0.04,0.0,0.02
Xc-6dv,0.04,0.0,0.02
SssCH2,0.04,0.0,0.02
AETA_alpha,0.0,0.04,0.02
AATS7i,0.0,0.04,0.02
ATSC7c,0.04,0.0,0.02
GATS1p,0.04,0.0,0.02
AATS3p,0.04,0.0,0.02
AATS2i,0.04,0.0,0.02
AATS7p,0.04,0.0,0.02
GATS1se,0.0,0.04,0.02
GATS4p,0.04,0.0,0.02
ATSC2dv,0.04,0.0,0.02
GATS4Z,0.0,0.04,0.02
MATS4se,0.0,0.04,0.02
MATS8Z,0.04,0.0,0.02
GATS5d,0.0,0.04,0.02
ATSC8c,0.04,0.0,0.02
ATSC4c,0.04,0.0,0.02
ATSC7dv,0.0,0.04,0.02
AATSC6d,0.0,0.04,0.02
AATSC7c,0.0,0.04,0.02
ATSC3p,0.0,0.04,0.02
ATSC4p,0.04,0.0,0.02
ATSC5p,0.0,0.04,0.02
AATSC5c,0.04,0.0,0.02
AATSC7i,0.04,0.0,0.02
ATSC1v,0.0,0.04,0.02
GGI5,0.0,0.04,0.02
VR1_A,0.0,0.04,0.02
ATS5s,0.0,0.0,0.0
ATS4s,0.0,0.0,0.0
ATS2s,0.0,0.0,0.0
ATS1s,0.0,0.0,0.0
ATS0s,0.0,0.0,0.0
ATS8dv,0.0,0.0,0.0
ATS7dv,0.0,0.0,0.0
ATS6dv,0.0,0.0,0.0
ATS0dv,0.0,0.0,0.0
nX,0.0,0.0,0.0
nBr,0.0,0.0,0.0
nCl,0.0,0.0,0.0
mZagreb1,0.0,0.0,0.0
nFHRing,0.0,0.0,0.0
nG12FRing,0.0,0.0,0.0
n12FRing,0.0,0.0,0.0
ATSC4se,0.0,0.0,0.0
ATSC3se,0.0,0.0,0.0
ATSC2se,0.0,0.0,0.0
ATSC1se,0.0,0.0,0.0
ATSC0se,0.0,0.0,0.0
ATSC8v,0.0,0.0,0.0
ATSC6v,0.0,0.0,0.0
ATSC5v,0.0,0.0,0.0
ATSC4v,0.0,0.0,0.0
nO,0.0,0.0,0.0
nN,0.0,0.0,0.0
nHetero,0.0,0.0,0.0
nBridgehead,0.0,0.0,0.0
nAtom,0.0,0.0,0.0
VR3_A,0.0,0.0,0.0
VE1_A,0.0,0.0,0.0
ATSC7Z,0.0,0.0,0.0
ATSC5Z,0.0,0.0,0.0
ATSC3Z,0.0,0.0,0.0
ATSC2Z,0.0,0.0,0.0
ATSC1Z,0.0,0.0,0.0
ATSC8s,0.0,0.0,0.0
ATSC7s,0.0,0.0,0.0
ATSC6s,0.0,0.0,0.0
ATSC5s,0.0,0.0,0.0
ATSC4s,0.0,0.0,0.0
ATSC4pe,0.0,0.0,0.0
ATSC1pe,0.0,0.0,0.0
ATSC8se,0.0,0.0,0.0
ATSC7se,0.0,0.0,0.0
ATSC6se,0.0,0.0,0.0
ATSC5se,0.0,0.0,0.0
AATSC8c,0.0,0.0,0.0
AATSC6c,0.0,0.0,0.0
AATSC0c,0.0,0.0,0.0
ATSC8i,0.0,0.0,0.0
ATSC7i,0.0,0.0,0.0
ATSC6i,0.0,0.0,0.0
ATSC5i,0.0,0.0,0.0
ATSC4i,0.0,0.0,0.0
ATSC3i,0.0,0.0,0.0
ATSC2i,0.0,0.0,0.0
ATSC1i,0.0,0.0,0.0
ATSC8p,0.0,0.0,0.0
ATSC7p,0.0,0.0,0.0
ATSC6p,0.0,0.0,0.0
ATSC3v,0.0,0.0,0.0
ATSC8Z,0.0,0.0,0.0
AATSC4s,0.0,0.0,0.0
AATSC2s,0.0,0.0,0.0
AATSC1s,0.0,0.0,0.0
AATSC8d,0.0,0.0,0.0
AATSC7d,0.0,0.0,0.0
AATSC5d,0.0,0.0,0.0
AATSC4d,0.0,0.0,0.0
AATSC2d,0.0,0.0,0.0
AATSC1d,0.0,0.0,0.0
AATSC0d,0.0,0.0,0.0
AATSC8dv,0.0,0.0,0.0
AATSC6dv,0.0,0.0,0.0
AATSC4dv,0.0,0.0,0.0
AATSC3dv,0.0,0.0,0.0
AATSC2dv,0.0,0.0,0.0
AATSC0dv,0.0,0.0,0.0
AATSC3se,0.0,0.0,0.0
AATSC2se,0.0,0.0,0.0
AATSC1se,0.0,0.0,0.0
AATSC8v,0.0,0.0,0.0
AATSC7v,0.0,0.0,0.0
AATSC6v,0.0,0.0,0.0
AATSC5v,0.0,0.0,0.0
AATSC4v,0.0,0.0,0.0
AATSC3v,0.0,0.0,0.0
AATSC8Z,0.0,0.0,0.0
AATSC7Z,0.0,0.0,0.0
AATSC6Z,0.0,0.0,0.0
AATSC8s,0.0,0.0,0.0
AATSC7s,0.0,0.0,0.0
AATSC6s,0.0,0.0,0.0
AATSC5s,0.0,0.0,0.0
AATSC6i,0.0,0.0,0.0
AATSC5i,0.0,0.0,0.0
AATSC4i,0.0,0.0,0.0
AATSC3i,0.0,0.0,0.0
AATSC0i,0.0,0.0,0.0
AATSC8p,0.0,0.0,0.0
AATSC7p,0.0,0.0,0.0
AATSC6p,0.0,0.0,0.0
AATSC5p,0.0,0.0,0.0
AATSC3p,0.0,0.0,0.0
AATSC1pe,0.0,0.0,0.0
AATSC8se,0.0,0.0,0.0
AATSC7se,0.0,0.0,0.0
AATSC6se,0.0,0.0,0.0
AATSC5se,0.0,0.0,0.0
AATSC4se,0.0,0.0,0.0
ATSC3s,0.0,0.0,0.0
ATSC2s,0.0,0.0,0.0
ATSC8d,0.0,0.0,0.0
ATSC7d,0.0,0.0,0.0
ATSC6d,0.0,0.0,0.0
ATSC5d,0.0,0.0,0.0
ATSC4d,0.0,0.0,0.0
ATSC3d,0.0,0.0,0.0
ATSC2d,0.0,0.0,0.0
ATSC1d,0.0,0.0,0.0
ATSC8dv,0.0,0.0,0.0
ATSC6dv,0.0,0.0,0.0
ATSC5dv,0.0,0.0,0.0
ATSC4dv,0.0,0.0,0.0
MATS1c,0.0,0.0,0.0
AATSC8i,0.0,0.0,0.0
MATS1se,0.0,0.0,0.0
MATS7Z,0.0,0.0,0.0
MATS6Z,0.0,0.0,0.0
MATS5Z,0.0,0.0,0.0
MATS3Z,0.0,0.0,0.0
MATS2Z,0.0,0.0,0.0
MATS1Z,0.0,0.0,0.0
MATS8s,0.0,0.0,0.0
MATS7s,0.0,0.0,0.0
MATS6s,0.0,0.0,0.0
MATS5s,0.0,0.0,0.0
MATS4s,0.0,0.0,0.0
MATS3s,0.0,0.0,0.0
MATS2s,0.0,0.0,0.0
MATS1s,0.0,0.0,0.0
MATS4c,0.0,0.0,0.0
GATS3dv,0.0,0.0,0.0
GATS2dv,0.0,0.0,0.0
GATS1dv,0.0,0.0,0.0
GATS6c,0.0,0.0,0.0
GATS5c,0.0,0.0,0.0
GATS4c,0.0,0.0,0.0
GATS3c,0.0,0.0,0.0
GATS2c,0.0,0.0,0.0
GATS1c,0.0,0.0,0.0
MATS2i,0.0,0.0,0.0
MATS7p,0.0,0.0,0.0
MATS4p,0.0,0.0,0.0
MATS4pe,0.0,0.0,0.0
MATS5se,0.0,0.0,0.0
MATS3se,0.0,0.0,0.0
MATS2se,0.0,0.0,0.0
GATS5s,0.0,0.0,0.0
GATS4s,0.0,0.0,0.0
GATS3s,0.0,0.0,0.0
GATS2s,0.0,0.0,0.0
GATS1s,0.0,0.0,0.0
GATS8d,0.0,0.0,0.0
GATS7d,0.0,0.0,0.0
GATS6d,0.0,0.0,0.0
GATS4d,0.0,0.0,0.0
GATS3d,0.0,0.0,0.0
GATS1d,0.0,0.0,0.0
GATS8dv,0.0,0.0,0.0
GATS7dv,0.0,0.0,0.0
GATS6dv,0.0,0.0,0.0
GATS5dv,0.0,0.0,0.0
GATS4dv,0.0,0.0,0.0
GATS7Z,0.0,0.0,0.0
ATSC3dv,0.0,0.0,0.0
ATSC1dv,0.0,0.0,0.0
ATSC0dv,0.0,0.0,0.0
ATSC6c,0.0,0.0,0.0
ATSC5c,0.0,0.0,0.0
ATSC3c,0.0,0.0,0.0
ATSC1c,0.0,0.0,0.0
AATS8i,0.0,0.0,0.0
AATS6i,0.0,0.0,0.0
GATS5Z,0.0,0.0,0.0
GATS2Z,0.0,0.0,0.0
GATS1Z,0.0,0.0,0.0
GATS8s,0.0,0.0,0.0
GATS7s,0.0,0.0,0.0
GATS6s,0.0,0.0,0.0
GATS3p,0.0,0.0,0.0
GATS1pe,0.0,0.0,0.0
GATS8se,0.0,0.0,0.0
GATS7se,0.0,0.0,0.0
GATS6se,0.0,0.0,0.0
GATS5se,0.0,0.0,0.0
GATS4se,0.0,0.0,0.0
GATS3se,0.0,0.0,0.0
GATS2se,0.0,0.0,0.0
GATS8v,0.0,0.0,0.0
GATS6v,0.0,0.0,0.0
GATS5v,0.0,0.0,0.0
GATS4v,0.0,0.0,0.0
GATS3v,0.0,0.0,0.0
GATS2v,0.0,0.0,0.0
GATS8Z,0.0,0.0,0.0
AATS3i,0.0,0.0,0.0
AATS1i,0.0,0.0,0.0
AATS0i,0.0,0.0,0.0
AATS8p,0.0,0.0,0.0
AATS4p,0.0,0.0,0.0
AATS8se,0.0,0.0,0.0
AATS7se,0.0,0.0,0.0
AATS6se,0.0,0.0,0.0
GATS5i,0.0,0.0,0.0
GATS4i,0.0,0.0,0.0
GATS3i,0.0,0.0,0.0
GATS1i,0.0,0.0,0.0
GATS8p,0.0,0.0,0.0
GATS7p,0.0,0.0,0.0
GATS6p,0.0,0.0,0.0
GATS5p,0.0,0.0,0.0
RNCG,0.0,0.0,0.0
nBondsT,0.0,0.0,0.0
nBondsD,0.0,0.0,0.0
BertzCT,0.0,0.0,0.0
SM1_Dzse,0.0,0.0,0.0
SM1_Dzv,0.0,0.0,0.0
BalabanJ,0.0,0.0,0.0
BCUTpe-1l,0.0,0.0,0.0
BCUTZ-1l,0.0,0.0,0.0
BCUTd-1l,0.0,0.0,0.0
BCUTc-1h,0.0,0.0,0.0
GATS8i,0.0,0.0,0.0
GATS7i,0.0,0.0,0.0
GATS6i,0.0,0.0,0.0
AATS5i,0.0,0.0,0.0
AATS4i,0.0,0.0,0.0
AATS7v,0.0,0.0,0.0
AATS5v,0.0,0.0,0.0
AATS4v,0.0,0.0,0.0
AATS3v,0.0,0.0,0.0
AATS7Z,0.0,0.0,0.0
AATS6Z,0.0,0.0,0.0
Xch-3d,0.0,0.0,0.0
HybRatio,0.0,0.0,0.0
C4SP3,0.0,0.0,0.0
C3SP3,0.0,0.0,0.0
C2SP3,0.0,0.0,0.0
C1SP3,0.0,0.0,0.0
C3SP2,0.0,0.0,0.0
C2SP2,0.0,0.0,0.0
C1SP2,0.0,0.0,0.0
C2SP1,0.0,0.0,0.0
AXp-4d,0.0,0.0,0.0
AXp-3d,0.0,0.0,0.0
AXp-2d,0.0,0.0,0.0
AXp-1d,0.0,0.0,0.0
AXp-0d,0.0,0.0,0.0
Xpc-4d,0.0,0.0,0.0
Xch-7dv,0.0,0.0,0.0
Xch-5dv,0.0,0.0,0.0
Xch-7d,0.0,0.0,0.0
Xch-6d,0.0,0.0,0.0
Xch-5d,0.0,0.0,0.0
Xch-4d,0.0,0.0,0.0
AATS5se,0.0,0.0,0.0
AATS4se,0.0,0.0,0.0
AATS3se,0.0,0.0,0.0
AATS8v,0.0,0.0,0.0
NdsN,0.0,0.0,0.0
NaaNH,0.0,0.0,0.0
NssNH,0.0,0.0,0.0
NsNH2,0.0,0.0,0.0
NssssC,0.0,0.0,0.0
NaaaC,0.0,0.0,0.0
NaasC,0.0,0.0,0.0
NdssC,0.0,0.0,0.0
NsssCH,0.0,0.0,0.0
NaaCH,0.0,0.0,0.0
NdsCH,0.0,0.0,0.0
NssCH2,0.0,0.0,0.0
NsCH3,0.0,0.0,0.0
AXp-7d,0.0,0.0,0.0
AXp-6d,0.0,0.0,0.0
AXp-5d,0.0,0.0,0.0
SssssC,0.0,0.0,0.0
SaasC,0.0,0.0,0.0
SdssC,0.0,0.0,0.0
SsssCH,0.0,0.0,0.0
NaaSe,0.0,0.0,0.0
NdSe,0.0,0.0,0.0
NddssS,0.0,0.0,0.0
NaaS,0.0,0.0,0.0
NssS,0.0,0.0,0.0
NaaO,0.0,0.0,0.0
NssO,0.0,0.0,0.0
NsOH,0.0,0.0,0.0
NaasN,0.0,0.0,0.0
NddsN,0.0,0.0,0.0
NsssN,0.0,0.0,0.0
NaaN,0.0,0.0,0.0
ETA_eta_B,0.0,0.0,0.0
AETA_eta_F,0.0,0.0,0.0
AETA_eta_RL,0.0,0.0,0.0
AETA_beta_ns_d,0.0,0.0,0.0
ETA_beta_ns_d,0.0,0.0,0.0
AETA_beta_s,0.0,0.0,0.0
ETA_shape_x,0.0,0.0,0.0
ETA_shape_y,0.0,0.0,0.0
ETA_shape_p,0.0,0.0,0.0
MINdO,0.0,0.0,0.0
MINaasC,0.0,0.0,0.0
MINaaCH,0.0,0.0,0.0
MAXddssS,0.0,0.0,0.0
MAXdO,0.0,0.0,0.0
MAXaaCH,0.0,0.0,0.0
SssSe,0.0,0.0,0.0
ETA_epsilon_2,0.0,0.0,0.0
AATS8s,0.0,0.0,0.0
AATS7s,0.0,0.0,0.0
AATS6s,0.0,0.0,0.0
AATS5s,0.0,0.0,0.0
AATS4s,0.0,0.0,0.0
AATS3s,0.0,0.0,0.0
AATS1s,0.0,0.0,0.0
AATS8d,0.0,0.0,0.0
AATS7d,0.0,0.0,0.0
AATS6d,0.0,0.0,0.0
AATS5d,0.0,0.0,0.0
AATS4d,0.0,0.0,0.0
AATS3d,0.0,0.0,0.0
ETA_dAlpha_B,0.0,0.0,0.0
AETA_eta_BR,0.0,0.0,0.0
SIC0,0.0,0.0,0.0
TIC1,0.0,0.0,0.0
IC4,0.0,0.0,0.0
IC3,0.0,0.0,0.0
IC2,0.0,0.0,0.0
IC1,0.0,0.0,0.0
IC0,0.0,0.0,0.0
nHBDon,0.0,0.0,0.0
nHBAcc,0.0,0.0,0.0
fMF,0.0,0.0,0.0
ETA_dPsi_B,0.0,0.0,0.0
ETA_psi_1,0.0,0.0,0.0
ETA_dBeta,0.0,0.0,0.0
ETA_dEpsilon_D,0.0,0.0,0.0
ETA_dEpsilon_B,0.0,0.0,0.0
ETA_epsilon_5,0.0,0.0,0.0
AATS5dv,0.0,0.0,0.0
AATS4dv,0.0,0.0,0.0
AATS3dv,0.0,0.0,0.0
AATS1dv,0.0,0.0,0.0
AATS0dv,0.0,0.0,0.0
ATS8s,0.0,0.0,0.0
ATS7s,0.0,0.0,0.0
PEOE_VSA5,0.0,0.0,0.0
PEOE_VSA4,0.0,0.0,0.0
PEOE_VSA1,0.0,0.0,0.0
GhoseFilter,0.0,0.0,0.0
Lipinski,0.0,0.0,0.0
ZMIC1,0.0,0.0,0.0
MIC1,0.0,0.0,0.0
SIC4,0.0,0.0,0.0
SIC1,0.0,0.0,0.0
SlogP_VSA11,0.0,0.0,0.0
SlogP_VSA10,0.0,0.0,0.0
SlogP_VSA8,0.0,0.0,0.0
SlogP_VSA5,0.0,0.0,0.0
SlogP_VSA4,0.0,0.0,0.0
SMR_VSA9,0.0,0.0,0.0
SMR_VSA6,0.0,0.0,0.0
SMR_VSA4,0.0,0.0,0.0
SMR_VSA3,0.0,0.0,0.0
PEOE_VSA12,0.0,0.0,0.0
PEOE_VSA11,0.0,0.0,0.0
PEOE_VSA8,0.0,0.0,0.0
PEOE_VSA6,0.0,0.0,0.0
AATS0d,0.0,0.0,0.0
AATS8dv,0.0,0.0,0.0
AATS6dv,0.0,0.0,0.0
AMID_O,0.0,0.0,0.0
AMID_h,0.0,0.0,0.0
MDEC-23,0.0,0.0,0.0
VSA_EState9,0.0,0.0,0.0
VSA_EState8,0.0,0.0,0.0
VSA_EState7,0.0,0.0,0.0
VSA_EState5,0.0,0.0,0.0
