descriptor,mi_freq,rf_freq,mean_freq
VR3_A,0.44,0.88,0.66
VE2_A,0.4,0.84,0.62
PEOE_VSA9,0.96,0.28,0.62
VR1_A,0.32,0.68,0.5
SlogP_VSA2,0.88,0.08,0.48
PEOE_VSA1,0.04,0.88,0.46
BCUTs-1l,0.88,0.04,0.46
SMR_VSA6,0.88,0.04,0.46
ATSC0i,0.8,0.08,0.44
GATS1pe,0.0,0.88,0.44
BCUTse-1l,0.84,0.0,0.42
GGI9,0.12,0.68,0.4
BCUTdv-1h,0.76,0.0,0.38
Kier3,0.24,0.52,0.38
BCUTZ-1l,0.76,0.0,0.38
BCUTc-1l,0.64,0.0,0.32
GGI8,0.04,0.6,0.32
ATS0Z,0.0,0.6,0.3
AMID_O,0.08,0.52,0.3
GATS5s,0.0,0.6,0.3
Xc-5d,0.52,0.0,0.26
GATS1se,0.04,0.48,0.26
JGI5,0.04,0.44,0.24
ATS8dv,0.0,0.44,0.22
PEOE_VSA2,0.4,0.0,0.2
ATS8s,0.0,0.4,0.2
ATS1Z,0.0,0.4,0.2
MATS1c,0.12,0.28,0.2
ETA_dEpsilon_D,0.08,0.28,0.18000000000000002
SlogP_VSA1,0.12,0.24,0.18
ATS7Z,0.0,0.36,0.18
PEOE_VSA3,0.32,0.0,0.16
AATSC0p,0.0,0.28,0.14
SM1_Dzse,0.28,0.0,0.14
ZMIC3,0.08,0.2,0.14
MINaasC,0.0,0.24,0.12
SlogP_VSA5,0.2,0.0,0.1
SlogP_VSA10,0.2,0.0,0.1
AATSC1v,0.0,0.2,0.1
SpAbs_A,0.2,0.0,0.1
RotRatio,0.2,0.0,0.1
ATSC2c,0.0,0.2,0.1
ATS7dv,0.0,0.2,0.1
GGI10,0.08,0.12,0.1
SMR_VSA3,0.2,0.0,0.1
mZagreb1,0.0,0.16,0.08
AETA_alpha,0.16,0.0,0.08
EState_VSA8,0.16,0.0,0.08
BCUTv-1l,0.16,0.0,0.08
ETA_eta_B,0.16,0.0,0.08
ETA_dAlpha_B,0.16,0.0,0.08
GATS5se,0.0,0.16,0.08
MDEC-33,0.16,0.0,0.08
AATSC1c,0.0,0.16,0.08
ATSC2se,0.12,0.0,0.06
ETA_epsilon_5,0.0,0.12,0.06
AATSC2c,0.0,0.12,0.06
SdssC,0.0,0.12,0.06
NdssC,0.0,0.12,0.06
BCUTd-1l,0.12,0.0,0.06
nHBDon,0.0,0.12,0.06
Xc-3d,0.12,0.0,0.06
SlogP_VSA3,0.12,0.0,0.06
EState_VSA3,0.12,0.0,0.06
TSRW10,0.04,0.08,0.06
Xc-5dv,0.12,0.0,0.06
TopoPSA(NO),0.12,0.0,0.06
EState_VSA1,0.08,0.0,0.04
GATS1i,0.0,0.08,0.04
SM1_DzZ,0.08,0.0,0.04
VSA_EState2,0.08,0.0,0.04
SMR_VSA5,0.08,0.0,0.04
GATS1s,0.04,0.04,0.04
GATS8c,0.0,0.08,0.04
BCUTc-1h,0.08,0.0,0.04
Xc-4dv,0.0,0.08,0.04
ATSC1c,0.0,0.08,0.04
