trial,balanced_accuracy,state,model
0,0.7107860382648407,COMPLETE,RF
1,0.7184678170995403,COMPLETE,RF
2,0.7021165556644396,COMPLETE,RF
3,0.7032997416224257,COMPLETE,RF
4,0.6977119610705564,COMPLETE,RF
5,0.7087416198662498,COMPLETE,RF
6,0.719812993865037,COMPLETE,RF
7,0.7090684613767356,COMPLETE,RF
8,0.7167511520121744,COMPLETE,RF
9,0.7199199066685988,COMPLETE,RF
10,0.7084313735003365,COMPLETE,RF
11,0.7007836218936623,COMPLETE,RF
12,0.7088415967188716,COMPLETE,RF
13,0.7229241143973578,COMPLETE,RF
14,0.7198096938962344,COMPLETE,RF
15,0.7170132113544797,COMPLETE,RF
16,0.722463445042949,COMPLETE,RF
17,0.7194464539191262,COMPLETE,RF
18,0.7098820512818173,COMPLETE,RF
19,0.711742523538466,COMPLETE,RF
20,0.7194797604223426,COMPLETE,RF
21,0.7236864221663918,COMPLETE,RF
22,0.7246595429980957,COMPLETE,RF
23,0.7211204402646388,COMPLETE,RF
24,0.7274011473658177,COMPLETE,RF
25,0.7230451947026294,COMPLETE,RF
26,0.7235534262349024,COMPLETE,RF
27,0.7171614587374019,COMPLETE,RF
28,0.7133544083346567,COMPLETE,RF
29,0.7021351588226953,COMPLETE,RF
