trial,balanced_accuracy,state,model
0,0.5563842932575523,COMPLETE,SVM
1,0.6545275887618669,COMPLETE,SVM
2,0.6394075538224823,COMPLETE,SVM
3,0.6394075538224823,COMPLETE,SVM
4,0.5076649689308813,COMPLETE,SVM
5,0.6394075538224823,COMPLETE,SVM
6,0.6384035948284267,COMPLETE,SVM
7,0.6788906980796776,COMPLETE,SVM
8,0.5569254187986779,COMPLETE,SVM
9,0.6486600192058033,COMPLETE,SVM
10,0.7048521807287788,COMPLETE,SVM
11,0.7048450926457605,COMPLETE,SVM
12,0.7064004469883313,COMPLETE,SVM
13,0.7042311299855782,COMPLETE,SVM
14,0.6061698850880934,COMPLETE,SVM
15,0.7033794978665365,COMPLETE,SVM
16,0.5189092033176896,COMPLETE,SVM
17,0.7089108961458411,COMPLETE,SVM
18,0.7079757759895311,COMPLETE,SVM
19,0.7102237286039333,COMPLETE,SVM
