descriptor,n_organisms_top8,organisms,mean_importance
PEOE_VSA9,2,"L_infantum, T_cruzi",0.01704271724741345
AATS4Z,1,L_infantum,0.03822448349277562
ATS5Z,1,L_infantum,0.03133337658799195
ATS4Z,1,L_infantum,0.022362204319237074
BCUTc-1l,1,L_infantum,0.018813414124912674
PEOE_VSA2,1,L_infantum,0.01801768648790475
AETA_eta,1,L_infantum,0.016566648909249877
AETA_eta_L,1,L_infantum,0.0160844291569423
AATSC6v,1,L_donovani,0.013836400825897075
JGI2,1,L_donovani,0.013593922114102226
PEOE_VSA1,1,T_cruzi,0.0134391276590837
GATS1pe,1,T_cruzi,0.0113460492242048
MDEC-33,1,L_donovani,0.0106992302914659
ATSC0i,1,T_cruzi,0.01001118864438585
VR3_A,1,T_cruzi,0.009913629187899524
piPC9,1,L_donovani,0.00954625767193755
MATS3s,1,L_donovani,0.00931672233610955
GGI9,1,T_cruzi,0.00920907579990045
VE2_A,1,T_cruzi,0.008304340648572925
SlogP_VSA2,1,T_cruzi,0.0075672528287389
ATSC3s,1,L_donovani,0.006692705558825275
GATS3s,1,L_donovani,0.005760105624142075
BCUTpe-1l,1,L_donovani,0.005658057226679475
MATS4c,1,L_amazonensis,0.0055790707896243
ATSC4c,1,L_amazonensis,0.004842493138225225
GATS5Z,1,L_amazonensis,0.00432959435537475
AATSC4c,1,L_amazonensis,0.0042249973953512
GATS6c,1,L_amazonensis,0.004151621689346875
ATSC7c,1,L_amazonensis,0.004097607432247675
GATS7c,1,L_amazonensis,0.003845775618127975
AATSC7c,1,L_amazonensis,0.003590307380200875
SlogP_VSA1,0,,0.006874717672576075
SMR_VSA6,0,,0.00529635674113265
GGI10,0,,0.004831384993191025
BCUTZ-1l,0,,0.004730524195926125
ATSC0p,0,,0.004247868965214275
MATS2c,0,,0.004148088202191475
BCUTdv-1l,0,,0.003668225396203725
ATS1Z,0,,0.003293284614557375
BCUTdv-1h,0,,0.002975314486656975
BCUTv-1l,0,,0.002653226178256075
BCUTse-1l,0,,0.002040183940541475
Xch-7dv,0,,0.0018335419650521
ATS6Z,0,,0.001693983215496675
BCUTs-1l,0,,0.001399935031687325
VR1_A,0,,0.001351632956023425
AATSC2s,0,,0.0
