feature,mean_shap,abs_mean_shap,std_shap,type
ECFP6_3651,0.063073926,0.17315026,0.35285628,ECFP6 Fingerprint
mordred_NaaN,0.011612972,0.08099323,0.093395814,Mordred 2D
ECFP6_3526,0.010168842,0.06378961,0.19612071,ECFP6 Fingerprint
mordred_SLogP,0.00013398708,0.06169267,0.08148524,Mordred 2D
rdkit_BalabanJ,0.0054422743,0.0611062,0.08689372,RDKit 2D
mordred_ATSC0i,0.0017344835,0.05834895,0.07228467,Mordred 2D
mordred_SlogP_VSA4,0.0011254273,0.054933295,0.06434264,Mordred 2D
mordred_ATSC1i,0.0057381885,0.05204051,0.061823815,Mordred 2D
mordred_EState_VSA2,0.002370777,0.051044658,0.06264667,Mordred 2D
mordred_GATS5dv,0.0032977597,0.045465555,0.05366012,Mordred 2D
mordred_SlogP_VSA1,-0.0007215563,0.04345686,0.057859205,Mordred 2D
mordred_GATS6se,0.0077047935,0.043102544,0.06416454,Mordred 2D
mordred_GATS2i,0.00060279114,0.04300371,0.050481714,Mordred 2D
mordred_MINaasC,0.006438023,0.042457983,0.06331866,Mordred 2D
mordred_AATSC3dv,0.0008690131,0.042405896,0.05454979,Mordred 2D
ECFP6_1535,0.0076218667,0.04179955,0.07338959,ECFP6 Fingerprint
mordred_GATS4c,0.00072069996,0.04143814,0.057382874,Mordred 2D
mordred_GGI9,-0.0014121813,0.04124129,0.052785326,Mordred 2D
mordred_PEOE_VSA5,-0.00017753165,0.04012465,0.057538226,Mordred 2D
mordred_MATS4c,0.0016859821,0.038529307,0.04542779,Mordred 2D
rdkit_BCUT2D_MRHI,0.0020650374,0.038447447,0.048212774,RDKit 2D
mordred_ATSC3Z,0.00052153313,0.038250625,0.045818865,Mordred 2D
MACCS_133,0.0043400237,0.037846733,0.0440537,MACCS Key
rdkit_BCUT2D_MWLOW,-0.0026228789,0.03773686,0.05919976,RDKit 2D
mordred_AMID_N,0.0054389127,0.036013372,0.043159764,Mordred 2D
mordred_ATSC8v,-0.0026424027,0.035952684,0.04374971,Mordred 2D
mordred_MATS3c,-0.0006985444,0.035730857,0.07215044,Mordred 2D
mordred_MATS7c,0.0020401003,0.035112657,0.047537476,Mordred 2D
rdkit_BCUT2D_MRLOW,0.00078823674,0.034747362,0.05611272,RDKit 2D
mordred_AATS7se,0.0030855793,0.033662565,0.041744273,Mordred 2D
mordred_GGI5,0.0015472289,0.03348725,0.03860819,Mordred 2D
mordred_GGI8,0.0026719354,0.032848816,0.040087737,Mordred 2D
mordred_SlogP_VSA10,0.0023446102,0.03207912,0.038767364,Mordred 2D
mordred_VSA_EState7,0.003630496,0.031431437,0.03894736,Mordred 2D
mordred_ATS0Z,0.00064936903,0.030948121,0.04230784,Mordred 2D
rdkit_MaxPartialCharge,0.0064663477,0.03086243,0.051812597,RDKit 2D
mordred_GATS6Z,0.0001525083,0.030012678,0.036591154,Mordred 2D
mordred_MAXaasC,0.004359928,0.029517882,0.03661444,Mordred 2D
ECFP6_3009,0.0024403126,0.029264465,0.08189568,ECFP6 Fingerprint
mordred_BCUTdv-1h,-0.0012147939,0.029088983,0.055741917,Mordred 2D
mordred_ATS8dv,0.0052567776,0.028965058,0.034479633,Mordred 2D
mordred_MATS2c,-0.0003085159,0.028701855,0.058525663,Mordred 2D
MACCS_123,0.0005954059,0.028509341,0.046394628,MACCS Key
mordred_AATS1se,0.0027421922,0.028382245,0.033435713,Mordred 2D
rdkit_MaxAbsEStateIndex,0.004771294,0.02831463,0.069745295,RDKit 2D
mordred_AMID_h,0.001192115,0.028159268,0.045658957,Mordred 2D
mordred_GATS7p,0.0017621156,0.026412953,0.031290326,Mordred 2D
mordred_BalabanJ,-0.0012398156,0.026300417,0.057885755,Mordred 2D
mordred_MIC2,-0.0014471926,0.025903575,0.03238785,Mordred 2D
mordred_PEOE_VSA9,0.0022807084,0.02560306,0.03338746,Mordred 2D
mordred_SlogP_VSA5,0.001171783,0.025555782,0.04199487,Mordred 2D
mordred_AATS7p,-0.0018404616,0.025483897,0.030762576,Mordred 2D
mordred_ZMIC3,0.00053869124,0.02533394,0.048541307,Mordred 2D
