organism,descriptor,mean_abs_shap
L_amazonensis,MATS4c,0.022316283158497256
L_amazonensis,ATSC4c,0.019369972552900985
L_amazonensis,GATS5Z,0.017318377421499036
L_amazonensis,AATSC4c,0.01689998958140486
L_amazonensis,GATS6c,0.016606486757387594
L_amazonensis,ATSC7c,0.01639042972899074
L_amazonensis,GATS7c,0.015383102472511952
L_amazonensis,AATSC7c,0.014361229520803567
L_amazonensis,ATS1Z,0.013173138458229542
L_amazonensis,Xch-7dv,0.007334167860208452
L_amazonensis,ATS6Z,0.006775932861986726
L_amazonensis,AATSC2s,0.0
