organism,descriptor,mean_abs_shap
L_donovani,AATSC6v,0.055345603303588356
L_donovani,JGI2,0.05437568845640891
L_donovani,MDEC-33,0.042796921165863616
L_donovani,piPC9,0.038185030687750206
L_donovani,MATS3s,0.03726688934443827
L_donovani,ATSC3s,0.026770822235301125
L_donovani,GATS3s,0.023040422496568354
L_donovani,BCUTpe-1l,0.022632228906717927
L_donovani,GGI10,0.01932553997276417
L_donovani,BCUTZ-1l,0.018922096783704587
L_donovani,BCUTdv-1h,0.011901257946627958
L_donovani,BCUTv-1l,0.010612904713024332
