organism,descriptor,mean_abs_shap
L_infantum,AATS4Z,0.15289793397110252
L_infantum,ATS5Z,0.12533350635196783
L_infantum,ATS4Z,0.08944881727694838
L_infantum,BCUTc-1l,0.07525365649965074
L_infantum,PEOE_VSA2,0.07207074595161908
L_infantum,AETA_eta,0.06626659563699952
L_infantum,AETA_eta_L,0.06433771662776927
L_infantum,PEOE_VSA9,0.03004902620607077
L_infantum,SlogP_VSA1,0.027498870690304385
L_infantum,ATSC0p,0.016991475860857145
L_infantum,MATS2c,0.016592352808765958
L_infantum,BCUTdv-1l,0.014672901584814949
