descriptor,L_amazonensis,L_donovani,L_infantum,T_cruzi
AATS4Z,0.0,0.0,0.15289793397110252,0.0
AATSC2s,0.0,0.0,0.0,0.0
AATSC4c,0.01689998958140486,0.0,0.0,0.0
AATSC6v,0.0,0.055345603303588356,0.0,0.0
AATSC7c,0.014361229520803567,0.0,0.0,0.0
AETA_eta,0.0,0.0,0.06626659563699952,0.0
AETA_eta_L,0.0,0.0,0.06433771662776927,0.0
ATS1Z,0.013173138458229542,0.0,0.0,0.0
ATS4Z,0.0,0.0,0.08944881727694838,0.0
ATS5Z,0.0,0.0,0.12533350635196783,0.0
ATS6Z,0.006775932861986726,0.0,0.0,0.0
ATSC0i,0.0,0.0,0.0,0.04004475457754346
ATSC0p,0.0,0.0,0.016991475860857145,0.0
ATSC3s,0.0,0.026770822235301125,0.0,0.0
ATSC4c,0.019369972552900985,0.0,0.0,0.0
ATSC7c,0.01639042972899074,0.0,0.0,0.0
BCUTZ-1l,0.0,0.018922096783704587,0.0,0.0
BCUTc-1l,0.0,0.0,0.07525365649965074,0.0
BCUTdv-1h,0.0,0.011901257946627958,0.0,0.0
BCUTdv-1l,0.0,0.0,0.014672901584814949,0.0
BCUTpe-1l,0.0,0.022632228906717927,0.0,0.0
BCUTs-1l,0.0,0.0,0.0,0.005599740126749309
BCUTse-1l,0.0,0.0,0.0,0.008160735762165904
BCUTv-1l,0.0,0.010612904713024332,0.0,0.0
GATS1pe,0.0,0.0,0.0,0.045384196896819204
GATS3s,0.0,0.023040422496568354,0.0,0.0
GATS5Z,0.017318377421499036,0.0,0.0,0.0
GATS6c,0.016606486757387594,0.0,0.0,0.0
GATS7c,0.015383102472511952,0.0,0.0,0.0
GGI10,0.0,0.01932553997276417,0.0,0.0
GGI9,0.0,0.0,0.0,0.03683630319960183
JGI2,0.0,0.05437568845640891,0.0,0.0
MATS2c,0.0,0.0,0.016592352808765958,0.0
MATS3s,0.0,0.03726688934443827,0.0,0.0
MATS4c,0.022316283158497256,0.0,0.0,0.0
MDEC-33,0.0,0.042796921165863616,0.0,0.0
PEOE_VSA1,0.0,0.0,0.0,0.05375651063633488
PEOE_VSA2,0.0,0.0,0.07207074595161908,0.0
PEOE_VSA9,0.0,0.0,0.03004902620607077,0.03812184278358317
SMR_VSA6,0.0,0.0,0.0,0.021185426964530612
SlogP_VSA1,0.0,0.0,0.027498870690304385,0.0
SlogP_VSA2,0.0,0.0,0.0,0.030269011314955695
VE2_A,0.0,0.0,0.0,0.033217362594291755
VR1_A,0.0,0.0,0.0,0.005406531824093725
VR3_A,0.0,0.0,0.0,0.03965451675159811
Xch-7dv,0.007334167860208452,0.0,0.0,0.0
piPC9,0.0,0.038185030687750206,0.0,0.0
